# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  7 17:00:05 2020
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_massjlim:    Planet Mass [Jupiter Mass] Limit Flag
# COLUMN pl_msinie:      Planet Mass*sin(i) [Earth Mass]
# COLUMN pl_msinieerr1:  Planet Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_msinieerr2:  Planet Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_msinielim:   Planet Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_msinij:      Planet Mass*sin(i) [Jupiter Mass]
# COLUMN pl_msinijerr1:  Planet Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_msinijerr2:  Planet Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_msinijlim:   Planet Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_cmasse:      Planet Mass*sin(i)/sin(i) [Earth Mass]
# COLUMN pl_cmasseerr1:  Planet Mass*sin(i)/sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_cmasseerr2:  Planet Mass*sin(i)/sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_cmasselim:   Planet Mass*sin(i)/sin(i) [Earth Mass] Limit Flag
# COLUMN pl_cmassj:      Planet Mass*sin(i)/sin(i) [Jupiter Mass]
# COLUMN pl_cmassjerr1:  Planet Mass*sin(i)/sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_cmassjerr2:  Planet Mass*sin(i)/sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_cmassjlim:   Planet Mass*sin(i)/sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_pm:          Total Proper Motion [mas/yr]
# COLUMN sy_pmerr1:      Total Proper Motion Upper Unc [mas/yr]
# COLUMN sy_pmerr2:      Total Proper Motion Lower Unc [mas/yr]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_plxerr1:     Parallax [mas] Upper Unc
# COLUMN sy_plxerr2:     Parallax [mas] Lower Unc
#
pl_name,hostname,default_flag,discoverymethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_mass,st_masserr1,st_masserr2,st_masslim,sy_pm,sy_pmerr1,sy_pmerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
11 Com b,11 Com,1,Radial Velocity,1.290000,0.050000,-0.050000,0,,,,,,,,,6165.60000,476.70000,-476.70000,0,19.40000,1.50000,-1.50000,0,,,,,,,,,6165.60000,476.70000,-476.70000,0,19.40000,1.50000,-1.50000,0,Msini,2.70,0.30,-0.30,0,140.3836266,0.3013952,-0.3013952,93.1846000,1.9238000,-1.9238000,10.7104000,0.2197390,-0.2197390
11 UMi b,11 UMi,1,Radial Velocity,1.530000,0.070000,-0.070000,0,,,,,,,,,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,,,,,,,,,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,Msini,2.78,0.69,-0.69,0,10.6790187,0.2188062,-0.2188062,125.3210000,1.9765000,-1.9765000,7.9538800,0.1248570,-0.1248570
14 And b,14 And,1,Radial Velocity,0.830000,,,0,,,,,,,,,1525.50000,,,0,4.80000,,,0,,,,,,,,,1525.50000,,,0,4.80000,,,0,Msini,2.20,0.10,-0.20,0,299.2526179,0.1826842,-0.1826842,75.4392000,0.7140000,-0.7140000,13.2289000,0.1245010,-0.1245010
14 Her b,14 Her,1,Radial Velocity,2.930000,0.080000,-0.080000,0,,,,,,,,,1481.08780,47.67450,-47.67450,0,4.66000,0.15000,-0.15000,0,,,,,,,,,1481.08780,47.67450,-47.67450,0,4.66000,0.15000,-0.15000,0,Msini,0.90,0.04,-0.04,0,324.5303062,0.0424169,-0.0424169,17.9323000,0.0073000,-0.0073000,55.7363000,0.0225960,-0.0225960
16 Cyg B b,16 Cyg B,1,Radial Velocity,1.660000,0.030000,-0.030000,0,,,,,,,,,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0,,,,,,,,,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0,Msini,1.08,0.04,-0.04,0,211.1222128,0.0468803,-0.0468803,21.1397000,0.0110500,-0.0110500,47.2754000,0.0245316,-0.0245316
18 Del b,18 Del,1,Radial Velocity,2.600000,,,0,,,,,,,,,3273.50000,,,0,10.30000,,,0,,,,,,,,,3273.50000,,,0,10.30000,,,0,Msini,2.30,,,0,60.6038527,0.1566766,-0.1566766,76.2220000,0.6217000,-0.6217000,13.0922000,0.1061930,-0.1061930
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,330.000000,,,0,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,,,,,,,,,,,,,,,,,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,Mass,0.85,0.20,-0.10,0,25.3771704,0.0887954,-0.0887954,139.1350000,1.3195000,-1.3195000,7.1594900,0.0676472,-0.0676472
24 Boo b,24 Boo,1,Radial Velocity,0.190000,0.012000,-0.009000,0,,,,,,,,,289.22530,41.31790,-31.78300,0,0.91000,0.13000,-0.10000,0,,,,,,,,,289.22530,41.31790,-31.78300,0,0.91000,0.13000,-0.10000,0,Msini,0.99,0.19,-0.13,0,307.6469784,0.0965492,-0.0965492,95.9863000,0.6368500,-0.6368500,10.3900000,0.0685994,-0.0685994
24 Sex b,24 Sex,1,Radial Velocity,1.333000,0.004000,-0.009000,0,,,,,,,,,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0,,,,,,,,,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0,Msini,1.54,0.08,-0.08,0,74.6277468,0.1879011,-0.1879011,72.0691000,0.6791000,-0.6791000,13.8488000,0.1297560,-0.1297560
24 Sex c,24 Sex,1,Radial Velocity,2.080000,0.050000,-0.020000,0,,,,,,,,,273.32000,111.24000,-69.92000,0,0.86000,0.35000,-0.22000,0,,,,,,,,,273.32000,111.24000,-69.92000,0,0.86000,0.35000,-0.22000,0,Msini,1.54,0.08,-0.08,0,74.6277468,0.1879011,-0.1879011,72.0691000,0.6791000,-0.6791000,13.8488000,0.1297560,-0.1297560
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,84.000000,,,0,4131.79000,317.83000,-317.83000,0,13.00000,1.00000,-1.00000,0,,,,,,,,,,,,,,,,,4131.79000,317.83000,-317.83000,0,13.00000,1.00000,-1.00000,0,Mass,0.19,0.02,-0.02,0,,,,,,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,52.000000,6.000000,-6.000000,0,7786.50000,794.50000,-794.50000,0,24.50000,2.50000,-2.50000,0,,,,,,,,,,,,,,,,,7786.50000,794.50000,-794.50000,0,24.50000,2.50000,-2.50000,0,Mass,0.40,0.05,-0.05,0,172.4426671,0.1502778,-0.1502778,33.8281000,0.0862000,-0.0862000,29.5326000,0.0747585,-0.0747585
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,156.000000,10.000000,-10.000000,0,4417.83700,349.61300,-349.61300,0,13.90000,1.10000,-1.10000,0,,,,,,,,,,,,,,,,,4417.83700,349.61300,-349.61300,0,13.90000,1.10000,-1.10000,0,Mass,0.11,0.01,-0.01,0,,,,,,,,,
